id,text,misinfo,real
1,"""These are the coffins of people that have died from COVID-19. Would you now stay at home, you idiots?""",1,0
2,U.S. Rep. Gohmert Tests Positive for COVID-19,0,1
3,Is Climate Change Happening? The SCOTUS Nominee Can't Say.,0,1
4,"COVID-19 Infection Fatality Ratio is About 1.15%,",0,1
5,A package from AliExpress sent from China can spread the new coronavirus.,1,0
6,Energy suppliers accused of 'greenwashing' tariffs to attract environmentally friendly customers,0,1
7,Volunteers distribute masks soaked with a chemical with a narcotic effect.,1,0
8,Learn to Spot Fake Health News with These 5 Tips,0,1
9,Premiers push Ottawa for changes to environmental assessment bill,0,1
10,"For The Love Of Your Children And Mine, Let's Act Now On Climate Change",0,1
11,Planet SOS: Can GMO plants stop global warming?,0,1
12,Durbin: 'Planet is at Risk Because This President and His Party Have Broken With Every Nation on Earth in Their Opposition to Responsibly Address Climate Change',1,0
13,"Rodrigo Maia, president of the Brazilian Chamber of Deputies, said on Twitter that he'd rather see a few people die from COVID-19 before using money from public electoral funds to pay for their treatment.",1,0
14,Climate change: LED lights could dent UK energy demand,0,1
15,Thailand CDC announces green chiretta can cure coronavirus.,1,0
16,Dr Uma Kumar of AIIMS gave an interview on coronavirus.,1,0
17,Chlorine dioxide cures COVID-19.,1,0
18,Trump Administration Hit With 7 Major Environmental Setbacks In Court In Past Week,0,1
19,Media failed on climate and extreme weather coverage last year Will they do better in 2018,0,1
20,Amazon boss Jeff Bezos is giving away 7.7BILLION to people trying to stop climate apocalypse,1,0
21,Second Thoughts on Climate Doom,0,1
22,FDA Expands Use of Remdesivir for COVID-19 Treatment,0,1
23,'It is our future': children call time on climate inaction in UK,0,1
24,Failing Cities and States use Climate Change Lawsuits as Fiscal Escape Hatch,1,0
25,Samsung is giving free phones to students during coronavirus pandemic for online studies.,1,0
26,"A famous Brazilian doctor was defending the approach of ""vertical social distancing.""",1,0
27,Junk Science Jumps the Shark! UN Secretary General Says Global Warming Has Claimed 7 Million Lives Where?,1,0
28,"Iran's former president Mahmoud Ahmadinejad: It is clear to the world that the mutated coronavirus was produced in a lab, manufactured by the warfare stock houses of biological war belonging to world powers.",1,0
29,Heartland Institute accuses 'climate alarmists' of exploiting COVID-19 pandemic to advance agenda,1,0
30,Earths temperature to rise 15C as early as 2030 amid dire warnings from UN climate panel,0,1
31,"Rewild a quarter of UK to fight climate crisis, campaigners urge",0,1
32,Climate Change Advisory Council Carbon tax needed in Budget,0,1
33,Plasma Therapy Helps Critically Ill COVID Patients,0,1
34,German business community expects investment climate in Russia to improve,1,0
35,The price of the eventual COVID-19 vaccine will oscillate between 10.000 and 12.000 Colombian pesos.,1,0
36,"Alberto Fernndez, president of Argentina: ""Of the total deaths, 85% are people over 65 years"".",1,0
37,Biden's Approach To Brazil's Bolsonaro Could Prove He's Serious About Climate Change,0,1
38,"Vladimir Putin accused the ""rest of the leaders"" of having a plan to ""reduce the world population.""",1,0
39,The governor of Sao Paulo contracted COVID-19 after being vaccinated with the Sinovac Biotech vaccine.,1,0
40,"As a former teacher, I completely support the tens of thousands of students protesting against climate change",0,1
41,AOC ally pans 'ridiculous' Pelosi claim on climate change measure in coronavirus bill,1,0
42,The 2010 document published by the Rockefeller Foundation and the Global Business Network is a pre-designed plan of artificially creating and spreading the coronavirus pandemic.,1,0
43,Treating COVID-19 may increase antibiotic resistance,0,1
44,"In Kuwait, he sneezed during Friday sermon, and the worshipers expelled him.",1,0
45,"Cod and monkfish could disappear from menus due to climate change threat, study warns",0,1
46,"A picture with an old man sitting on the ground, and a caption saying that while he was hospitalized for COVID-19 his house was occupied by a Roma family.",1,0
47,It's Here And It's Real': Joe Biden Speaks On Deadly Wildfires And Climate Change,0,1
48,The tipping points at the heart of the climate crisis,0,1
49,Delhi Health Minister Satyendar Jain said that not a single one of the 30 thousand in Markaz was found coronavirus positive.,1,0
50,Sore throat: Allergy or cold? Plus treatment and prevention,0,1
51,Hardheaded Filipinos are to blame for the cases of coronavirus disease 2019 (COVID-19) in the country.,1,0
52,Interior Secretary Zinke Radical Environmentalists Would Rather See the Entire Forest Burn Down Th,1,0
53,Epidemics spread in the 20th year every 100 years.,1,0
54,New China Report Sets COVID-19 Death Rate at 1.4%,0,1
55,"Woman Advocates ""Eating Babies"" to Solve Climate Change, AOC Nods Her Head",1,0
56,"Buttigieg Calls on Christians to Be Considerate of Climate Change, Says Ignoring It Is a 'Sin'",1,0
57,ABC Sends Reporter to Africa to Lecture Americans on Climate Change,1,0
58,Football fans fume after Yale-Harvard game disrupted by HUNDREDS of pitch-invading climate protesters (VIDEO),1,0
59,Biden's Emphasis on Climate Policy Would Leave Australia the Odd One Out,0,1
60,Expert Alert: Have heart disease? Protect your health during the COVID-19 pandemic,0,1
61,Turkish President Erdogan revealed a mask that kills coronavirus in a minute.,1,0
62,Dettol sanitizer can kill tthe coronavirus. The company knew about the coronavirus back in 2019.,1,0
63,"82,000 Health Care Workers Volunteer for New York",0,1
64,What if We Stopped Pretending the Climate Apocalypse Can Be Stopped?,0,1
65,"Boris Johnson's 'build, build, build' strategy could remove protection for environment, warn RSPB and National Trust",1,0
66,Potential COVID Drug May Raise Heart Risk: Study,0,1
67,Young People Offer Urgent Moral Clarity on Climate Change,0,1
68,Jane Fonda on taking action to address 'dire' climate crisis,0,1
69,Is COVID-19 Transmitted Through Breast Milk? Study Suggests Not Likely,0,1
70,Curtis Ellis: Trump and the Paris Climate Accord--Another Promise Kept,1,0
71,COMMENTARY: COVID-19: Why We Can't Test Our Way Out of This,0,1
72,Watch: Morano on One America News TV: COVID Lockdowns Are A Trial Run For Climate Lockdowns  Morphing 'from a COVID lockdown to a climate lockdown',1,0
73,A residential building was set on fire in Wuhan to control spread of coronavirus.,1,0
74,Greta Thunberg jokes she'll swap 'climate thing' for music career after speech is given death metal makeover,0,1
75,Retaining your breath for 10 seconds will help you detect the coronavirus.,1,0
76,Did COVID-19 Cancel Thanksgiving? What to Know About Holiday Travel During the Pandemic,0,1
77,Did genetic mutations cause the coronavirus to become more dangerous.,1,0
78,"Going near a fire or stove after applying hand sanitizers, causes more fire as it contains alcohol.",1,0
79,"Croatian doctors, including the country's health minister, held a ceremonial ball despite of quarantine measures.",1,0
80,Coronavirus will be cured within 2 hours by drinking bitter gourd juice.,1,0
81,"Tackle Coronavirus and Climate Crisis Together, Says Activist Greta Thunberg",0,1
82,COVID-19 Case Investigation and Contact Tracing in Non-Healthcare Workplaces,0,1
83,20 million Chinese people convert to Islam after learning that COVID-19 doesn't affect muslims.,1,0
84,"With just days to go in the campaign, Trump knocks environmentally friendly toilets",0,1
85,"The COVID-19 pandemic ""was combined at a meeting"" in 2019 sponsored by the Bill & Melinda Gates Foundation.",1,0
86,List Requirements for Protecting Health Information,0,1
87,Teen Climate Activist Get Chilly Reception in Canadian Oil Country,1,0
88,"If We Bail Out Airlines, It Better Come With Climate Rules",0,1
89,COVID-19 does not affect children. Children cannot infect other people either.,1,0
90,Reading group: which climate science fiction should we read in March?,0,1
91,More Proof Eco-activism is Becoming a Religion: NBC Has Online Booth Where You Can Confess Your Climate Change Sins,1,0
92,"A WhatsApp chain, as well as some websites say that Italy will let the elderly sick with coronavirus die.",1,0
93,Sharks Are Creeping Into the Northeast Because of Climate Change,0,1
94,"Step up climate action or face catastrophe, says UN report",0,1
95,Military on streets of Philadelphia preparing to invoke martial law and bring citizens to FEMA camps.,1,0
96,Shenyang strives to build a first-class business environment,0,1
97,People with large social networks are more civil online,0,1
98,Climate report Scientists politely urge act now idiots,0,1
99,COVID-19 offers lesson on risk of ignoring climate change,1,0
100,"""Yes, Africans are being evicted in China amid fear of second COVID-19 wave""",0,1
101,"""Kochi Prefectural Assembly, who returned from Wuhan, refused the test while it was infected with coronavirus.""",1,0
