id,text,negative,neutral,positive
0,@USAirways why no ground crew at DCA when we're already Late Flight arriving #evenLate Flightr,1,0,0
1,"@AmericanAir - So does that mean your other flights going into Buffalo from other locations, you don't care about their safety?",1,0,0
2,@USAirways @joyadventuremom there are breastfeeding momma's watching this story all over the country! Better work on a faster response :),1,0,0
3,@JetBlue can't seem to DM you guys.. JDHADP,1,0,0
4,@JetBlue Airways to continue 'various commercial relationships' with #Lufthansa ... - @CAPA_Aviation http://t.co/o5sifHp4RT,0,1,0
5,"@USAirways thanks for nothing. Bought two tix through you to Disney and my friend can't go and now I have to eat the 400, plus 600 for new 1",1,0,0
6,"@united +what took me aback was the response by the flight attendant, who put the responsibility squarely back on passenger's shoulders. +",1,0,0
7,@USAirways 657. My daughter Candice and I are together with her baby.,0,1,0
8,@USAirways You suck!!  Do you even know the meaning of contingency plan?????,1,0,0
9,@SouthwestAir Working on a piece about military discounts and am hearing you offer one. Can you give me specifics and confirm? Thank You!,0,1,0
10,@JetBlue I think it's safe to say that after 25 years of loyal #JetBlue flying we are officially DONE. #Byebyejetblue,1,0,0
11,@USAirways I miss you too. Work has taken me out of Philly. I’ve been on flight 1776 from BOS —&gt; PHL so many times I should have a res. seat,0,0,1
12,@SouthwestAir thank you so so much for sending me to LA for #DestinationDragons! Tonight is gonna rock😎,0,0,1
13,@JetBlue thanks for the response. We are hopeful.,0,0,1
14,@JetBlue yes he and all the princesses. Trying to get to the #glassslipperchallenge at WDW.,0,1,0
15,"@usairways you made us miss our flight, first class now I can't even enter the admirals club.  Not happy  dm me to fix this.",1,0,0
16,@Jetblue  I will keep on tweeting until your CEO answers and personally apologizes to my wife and the passengers of flight 136. Just Wrong!!,1,0,0
17,"@united Useless response. I need a functioning wheelchair, not a customer care form to fill out.",1,0,0
18,"@USAirways @Gregm528 well there is certainly nothing happening ""in front"" of the scenes. #Noaccountability  #disappointing",1,0,0
19,@united this is nuts they said a flight was on the ground now it's still in Albany and they won't have a plane.  Someone is compensating me,1,0,0
20,@USAirways Sending thanks to employee Freddie in PHL Admiral Club A East for allowing me to give a day pass to my sibling stuck there today.,0,0,1
21,"@JetBlue Another awesome telephone experience with @JetBlue Thank you, Cory! #Greatcustomerservice✈☺",0,0,1
22,@AmericanAir … Been trying to book a whole new flight since 2 hours!! what is wrong with your website?,1,0,0
23,So relieved I'm flying @JetBlue after listening to everyone at the neighboring gate bitch about Spirit. My airline's better than yours.,0,0,1
24,@united ...just called and lady at your overseas call center said she saw no note. I explained the situation...again...,1,0,0
25,@AmericanAir its not weather thats why i said the other people received hotel rooms while the people at the end of the line did not get them,1,0,0
26,@SouthwestAir to the rescue. Sundown in Chicago. Next stop San Antonio! http://t.co/rQBpmwETtq,0,1,0
27,@SouthwestAir yes we did file a report and were treated rather rudely at midway baggage claim. Now we wait 2 days to get our luggage.,1,0,0
